"geneSym","LTM_ori","LTM_abs"
"WDR34",-0.742726190443644,0.742726190443644
"CHAF1B",-0.742513480333018,0.742513480333018
"EIF4A1",-0.74227087600776,0.74227087600776
"HSD11B2",-0.742092506862947,0.742092506862947
"VRK1",-0.74198560290653,0.74198560290653
"SRD5A3",0.741805392199002,0.741805392199002
"EPHX2",-0.741360266548019,0.741360266548019
"TMEM64",0.741349578987385,0.741349578987385
"ODC1",-0.741018053692309,0.741018053692309
"RBP7",-0.74086550240577,0.74086550240577
"IKZF2",0.740844151024846,0.740844151024846
"PARD6B",0.740671162787351,0.740671162787351
"RRP12",-0.740279069816557,0.740279069816557
"RAI14",0.74018270203752,0.74018270203752
"ARHGAP30",-0.739923824125397,0.739923824125397
"TRNT1",-0.739862513587624,0.739862513587624
"PSMB10",-0.739167305760557,0.739167305760557
"RRN3",-0.73912210674935,0.73912210674935
"ELAC1",0.738869620226461,0.738869620226461
"CENPE",0.738812678512571,0.738812678512571
"SMPD2",0.738756145978686,0.738756145978686
"KIAA0907",0.738594445016244,0.738594445016244
"SORL1",0.738288342182479,0.738288342182479
"SCD5",-0.738187811306143,0.738187811306143
"LINS1",-0.737400260789061,0.737400260789061
"TAF4B",0.737241380908754,0.737241380908754
"UGGT2",-0.736911393894338,0.736911393894338
"GSTM1 /// GSTM4",0.736389575547831,0.736389575547831
"FAM183A",0.73629210776919,0.73629210776919
"MTAP",0.73617746022318,0.73617746022318
"BRF2",-0.736151092081129,0.736151092081129
"RNASE4",0.735954571522024,0.735954571522024
"BCAR3",0.735913934150013,0.735913934150013
"MTHFD1",-0.735874315906971,0.735874315906971
"MLF1",-0.73578866302939,0.73578866302939
"EID1",-0.735616532587213,0.735616532587213
"ATP9A",-0.735437552912206,0.735437552912206
"OVOL1",0.735359510425049,0.735359510425049
"LAMB1",0.735114818248572,0.735114818248572
"PABPC4L",-0.73424663000105,0.73424663000105
"RPS6KA5",-0.734129155649593,0.734129155649593
"ZNF101",-0.733959770205576,0.733959770205576
"RNF31",0.733940446284345,0.733940446284345
"ZNF844",-0.733810673562504,0.733810673562504
"SLC16A14",0.733789904512996,0.733789904512996
"ZNF711",0.733544107560512,0.733544107560512
"PXYLP1",-0.733508962133356,0.733508962133356
"ANLN",0.733164408457151,0.733164408457151
"CA6",0.733148556039107,0.733148556039107
"GALK2",0.733144055710935,0.733144055710935
"PIAS2",-0.7328741204057,0.7328741204057
"CENPL",0.7320206438282,0.7320206438282
"PPAT",-0.73184394475426,0.73184394475426
"TTLL4",-0.731589382361581,0.731589382361581
"MRPL19",-0.731581040837526,0.731581040837526
"CDKN2B",0.731263956499456,0.731263956499456
